order_id,customer_id,channel_id,store_id,order_date,order_date_id,billing_address_id,shipping_address_id,status,currency_code,subtotal,tax_amount,channel_code,channel_name
1000000000,356,1,,2024-11-26 07:50:47,20241126,2910.0,1595,FULFILLED,ARS,51600.0,10836.0,ONLINE,Tienda Online
1000000001,601,1,,2024-01-31 01:00:04,20240131,3803.0,3534,CREATED,ARS,63840.0,13406.4,ONLINE,Tienda Online
1000000002,1234,1,,2025-02-26 19:39:44,20250226,1126.0,4063,FULFILLED,ARS,25260.0,5304.6,ONLINE,Tienda Online
1000000003,156,1,,2025-03-01 17:35:36,20250301,3665.0,1507,FULFILLED,ARS,25500.0,5355.0,ONLINE,Tienda Online
1000000004,616,2,4.0,2024-03-30 02:46:36,20240330,1293.0,4,FULFILLED,ARS,44175.0,9276.75,OFFLINE,Tiendas Físicas
1000000005,614,2,2.0,2024-03-12 20:54:35,20240312,1723.0,2,FULFILLED,ARS,24000.0,5040.0,OFFLINE,Tiendas Físicas
1000000006,188,1,,2025-07-15 22:55:56,20250715,1432.0,2148,REFUNDED,ARS,14250.0,2992.5,ONLINE,Tienda Online
1000000007,17,1,,2024-11-11 20:15:00,20241111,,3577,FULFILLED,ARS,13500.0,2835.0,ONLINE,Tienda Online
1000000008,1148,1,,2024-08-25 03:29:28,20240825,2018.0,1490,FULFILLED,ARS,89100.0,18711.0,ONLINE,Tienda Online
1000000009,1037,1,,2024-03-30 10:34:46,20240330,1097.0,1974,PAID,ARS,12825.0,2693.25,ONLINE,Tienda Online
1000000010,1336,2,1.0,2024-03-13 02:19:39,20240313,,1,REFUNDED,ARS,14700.0,3087.0,OFFLINE,Tiendas Físicas
1000000011,1239,2,4.0,2025-06-17 03:46:29,20250617,2159.0,4,FULFILLED,ARS,34140.0,7169.4,OFFLINE,Tiendas Físicas
1000000012,1426,2,3.0,2024-08-09 14:38:29,20240809,3389.0,3,FULFILLED,ARS,35280.0,7408.8,OFFLINE,Tiendas Físicas
1000000013,862,2,1.0,2025-03-23 11:26:14,20250323,1342.0,1,PAID,ARS,101887.5,21396.38,OFFLINE,Tiendas Físicas
